3,Cricket bat type 1,"High Quality cricket equipment, bat, ball, etc. by FitKart",50000,2022-11-18,0,NULL,abc1@gmail.com,100,NULL
4,Cricket bat type 2,"High Quality cricket equipment, bat, ball, etc. by FitKart",60000,2022-11-19,1,NULL,abc1@gmail.com,100,NULL
5,Cricket bat type 3,"High Quality cricket equipment, bat, ball, etc. by FitKart",70000,2022-11-20,2,NULL,abc1@gmail.com,100,NULL
6,Cricket bat type 4,"High Quality cricket equipment, bat, ball, etc. by FitKart",80000,2022-11-21,3,NULL,abc1@gmail.com,100,NULL
7,Cricket bat type 5,"High Quality cricket equipment, bat, ball, etc. by FitKart",90000,2022-11-22,4,NULL,abc1@gmail.com,34,NULL
8,Cricket bat type 6,"High Quality cricket equipment, bat, ball, etc. by FitKart",100000,2022-11-23,5,NULL,abc1@gmail.com,56,NULL
9,Cricket bat type 7,"High Quality cricket equipment, bat, ball, etc. by FitKart",110000,2022-11-24,6,NULL,abc1@gmail.com,65,NULL
10,Cricket bat type 8,"High Quality cricket equipment, bat, ball, etc. by FitKart",120000,2022-11-25,7,NULL,abc1@gmail.com,101,NULL
11,Cricket bat type 9,"High Quality cricket equipment, bat, ball, etc. by FitKart",130000,2022-11-26,8,NULL,abc1@gmail.com,101,NULL
12,Cricket bat type 10,"High Quality cricket equipment, bat, ball, etc. by FitKart",140000,2022-11-27,9,NULL,abc1@gmail.com,101,NULL
13,Cricket bat type 11,"High Quality cricket equipment, bat, ball, etc. by FitKart",150000,2022-11-28,10,NULL,abc1@gmail.com,35,NULL
14,Cricket ball type 1,"High Quality cricket equipment, bat, ball, etc. by FitKart",50000,2022-11-29,11,NULL,abc1@gmail.com,57,NULL
15,Cricket ball type 2,"High Quality cricket equipment, bat, ball, etc. by FitKart",60000,2022-11-30,12,NULL,abc1@gmail.com,66,NULL
16,Cricket ball type 3,"High Quality cricket equipment, bat, ball, etc. by FitKart",70000,2022-12-01,13,NULL,abc1@gmail.com,102,NULL
17,Cricket ball type 4,"High Quality cricket equipment, bat, ball, etc. by FitKart",80000,2022-12-02,14,NULL,abc1@gmail.com,102,NULL
18,Cricket ball type 5,"High Quality cricket equipment, bat, ball, etc. by FitKart",90000,2022-12-03,15,NULL,abc1@gmail.com,102,NULL
19,Cricket ball type 6,"High Quality cricket equipment, bat, ball, etc. by FitKart",100000,2022-12-04,16,NULL,abc1@gmail.com,36,NULL
20,Cricket ball type 7,"High Quality cricket equipment, bat, ball, etc. by FitKart",110000,2022-12-05,17,NULL,abc1@gmail.com,58,NULL
21,Cricket ball type 8,"High Quality cricket equipment, bat, ball, etc. by FitKart",120000,2022-12-06,18,NULL,abc1@gmail.com,67,NULL
22,Cricket ball type 9,"High Quality cricket equipment, bat, ball, etc. by FitKart",130000,2022-12-07,19,NULL,abc1@gmail.com,103,NULL
23,Cricket ball type 10,"High Quality cricket equipment, bat, ball, etc. by FitKart",140000,2022-12-08,20,NULL,abc1@gmail.com,103,NULL
24,Cricket ball type 11,"High Quality cricket equipment, bat, ball, etc. by FitKart",150000,2022-12-09,21,NULL,abc1@gmail.com,103,NULL
25,Football type 1,Premium Quality footballs by FitKart,50000,2022-12-10,22,NULL,abc2@gmail.com,37,NULL
26,Football type 2,Premium Quality footballs by FitKart,60000,2022-12-11,23,NULL,abc2@gmail.com,59,NULL
27,Football type 3,Premium Quality footballs by FitKart,70000,2022-12-12,24,NULL,abc2@gmail.com,68,NULL
28,Football type 4,Premium Quality footballs by FitKart,80000,2022-12-13,25,NULL,abc2@gmail.com,104,NULL
29,Football type 5,Premium Quality footballs by FitKart,90000,2022-12-14,26,NULL,abc2@gmail.com,104,NULL
30,Football type 6,Premium Quality footballs by FitKart,100000,2022-12-15,27,NULL,abc2@gmail.com,104,NULL
31,Football type 7,Premium Quality footballs by FitKart,110000,2022-12-16,28,NULL,abc2@gmail.com,38,NULL
32,Football type 8,Premium Quality footballs by FitKart,120000,2022-12-17,29,NULL,abc2@gmail.com,60,NULL
33,Sports shoes type 1,"FitKart Fundamentals, Sport shoes",130000,2022-12-18,30,NULL,abc2@gmail.com,69,NULL
34,Sports shoes type 2,"FitKart Fundamentals, Sport shoes",140000,2022-12-19,31,NULL,abc2@gmail.com,105,NULL
35,Sports shoes type 3,"FitKart Fundamentals, Sport shoes",150000,2022-12-20,32,NULL,abc2@gmail.com,105,NULL
36,Sports shoes type 4,"FitKart Fundamentals, Sport shoes",50000,2022-12-21,33,NULL,abc2@gmail.com,105,NULL
37,Sports shoes type 5,"FitKart Fundamentals, Sport shoes",60000,2022-12-22,34,NULL,abc2@gmail.com,39,NULL
38,Sports shoes type 6,"FitKart Fundamentals, Sport shoes",70000,2022-12-23,35,NULL,abc2@gmail.com,61,NULL
39,Sports shoes type 7,"FitKart Fundamentals, Sport shoes",80000,2022-12-24,36,NULL,abc2@gmail.com,70,NULL
40,Sports shoes type 8,"FitKart Fundamentals, Sport shoes",90000,2022-12-25,37,NULL,abc2@gmail.com,106,NULL
41,Sports shoes type 9,"FitKart Fundamentals, Sport shoes",100000,2022-12-26,38,NULL,abc2@gmail.com,106,NULL
42,Sports shoes type 10,"FitKart Fundamentals, Sport shoes",110000,2022-12-27,39,NULL,abc2@gmail.com,106,NULL
43,Sports shoes type 11,"FitKart Fundamentals, Sport shoes",120000,2022-12-28,40,NULL,abc2@gmail.com,40,NULL
